video_path,word_label,label_id,signer_id,dataset_source,duration_frames
data/raw/include/hello/hello_sample_1.mp4,hello,0,Signer_1,include,31
data/raw/include/hello/hello_sample_2.mp4,hello,0,Signer_2,include,34
data/raw/include/hello/hello_sample_3.mp4,hello,0,Signer_3,include,37
data/raw/include/hello/hello_sample_4.mp4,hello,0,Signer_1,include,27
data/raw/include/hello/hello_sample_5.mp4,hello,0,Signer_2,include,28
data/raw/include/hello/hello_sample_6.mp4,hello,0,Signer_3,include,34
data/raw/include/hello/hello_sample_7.mp4,hello,0,Signer_1,include,35
data/raw/include/goodbye/goodbye_sample_1.mp4,goodbye,1,Signer_1,include,35
data/raw/include/goodbye/goodbye_sample_2.mp4,goodbye,1,Signer_2,include,32
data/raw/include/goodbye/goodbye_sample_3.mp4,goodbye,1,Signer_3,include,39
data/raw/include/goodbye/goodbye_sample_4.mp4,goodbye,1,Signer_1,include,37
data/raw/include/goodbye/goodbye_sample_5.mp4,goodbye,1,Signer_2,include,38
data/raw/include/goodbye/goodbye_sample_6.mp4,goodbye,1,Signer_3,include,26
data/raw/include/goodbye/goodbye_sample_7.mp4,goodbye,1,Signer_1,include,32
data/raw/include/thank_you/thank_you_sample_1.mp4,thank_you,2,Signer_1,include,27
data/raw/include/thank_you/thank_you_sample_2.mp4,thank_you,2,Signer_2,include,38
data/raw/include/thank_you/thank_you_sample_3.mp4,thank_you,2,Signer_3,include,32
data/raw/include/thank_you/thank_you_sample_4.mp4,thank_you,2,Signer_1,include,36
data/raw/include/thank_you/thank_you_sample_5.mp4,thank_you,2,Signer_2,include,34
data/raw/include/thank_you/thank_you_sample_6.mp4,thank_you,2,Signer_3,include,32
data/raw/include/thank_you/thank_you_sample_7.mp4,thank_you,2,Signer_1,include,33
data/raw/include/please/please_sample_1.mp4,please,3,Signer_1,include,29
data/raw/include/please/please_sample_2.mp4,please,3,Signer_2,include,33
data/raw/include/please/please_sample_3.mp4,please,3,Signer_3,include,35
data/raw/include/please/please_sample_4.mp4,please,3,Signer_1,include,38
data/raw/include/please/please_sample_5.mp4,please,3,Signer_2,include,27
data/raw/include/please/please_sample_6.mp4,please,3,Signer_3,include,27
data/raw/include/please/please_sample_7.mp4,please,3,Signer_1,include,38
data/raw/include/sorry/sorry_sample_1.mp4,sorry,4,Signer_1,include,38
data/raw/include/sorry/sorry_sample_2.mp4,sorry,4,Signer_2,include,38
data/raw/include/sorry/sorry_sample_3.mp4,sorry,4,Signer_3,include,33
data/raw/include/sorry/sorry_sample_4.mp4,sorry,4,Signer_1,include,31
data/raw/include/sorry/sorry_sample_5.mp4,sorry,4,Signer_2,include,27
data/raw/include/sorry/sorry_sample_6.mp4,sorry,4,Signer_3,include,32
data/raw/include/sorry/sorry_sample_7.mp4,sorry,4,Signer_1,include,30
data/raw/include/yes/yes_sample_1.mp4,yes,5,Signer_1,include,33
data/raw/include/yes/yes_sample_2.mp4,yes,5,Signer_2,include,27
data/raw/include/yes/yes_sample_3.mp4,yes,5,Signer_3,include,37
data/raw/include/yes/yes_sample_4.mp4,yes,5,Signer_1,include,37
data/raw/include/yes/yes_sample_5.mp4,yes,5,Signer_2,include,36
data/raw/include/yes/yes_sample_6.mp4,yes,5,Signer_3,include,26
data/raw/include/yes/yes_sample_7.mp4,yes,5,Signer_1,include,39
data/raw/include/no/no_sample_1.mp4,no,6,Signer_1,include,29
data/raw/include/no/no_sample_2.mp4,no,6,Signer_2,include,32
data/raw/include/no/no_sample_3.mp4,no,6,Signer_3,include,30
data/raw/include/no/no_sample_4.mp4,no,6,Signer_1,include,29
data/raw/include/no/no_sample_5.mp4,no,6,Signer_2,include,33
